L 0, 0.40500
L 0-1, 0.44700
L 0-2, 0.48500
L 0-3, 0.47400
L 0-4, 0.49900
L 0, 0.40900
L 0-1, 0.43600
L 0-2, 0.48300
L 0-3, 0.48600
L 0-4, 0.45900
L 0, 0.41100
L 0-1, 0.44000
L 0-2, 0.48500
L 0-3, 0.47800
L 0-4, 0.49100
L 0, 0.39100
L 0-1, 0.41800
L 0-2, 0.45500
L 0, 0.43900
L 0, 0.41600
L 0-1, 0.44700
L 0-2, 0.47800
L 0-3, 0.47400
L 0-4, 0.47600
L 0, 0.40900
L 0-1, 0.40600
L 0-2, 0.46900
L 0-3, 0.45900
